experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,016dbcaca0e68b456378,1532735777,14,uniform,Aleatorio,extreme,Extrema,1.0,1.3085487560091196,18,4,12,0.2,True,False,True,8.675733876442372,-5.449309948571447,5.188012991823491,True,True,0.0,True,4.9956,
heterogeneity,886989de1950ceaf1470,3250942123,15,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.5571363697332181,2.4340162119813873,True,True,0.0,False,1.4857,
heterogeneity,886989de1950ceaf1470,3250942123,15,uniform,Aleatorio,low,Baja,0.15,0.15693865929169412,18,4,12,0.2,True,False,True,1.5146168454139932,-1.5146168454139932,2.0756454659713746,True,True,0.0,True,23.2863,
heterogeneity,886989de1950ceaf1470,3250942123,15,uniform,Aleatorio,moderate,Moderada,0.35,0.2985014936908838,18,4,12,0.2,True,True,False,0.0,0.03375974484259103,1.1340573536790397,True,True,0.0,False,23.6096,
heterogeneity,886989de1950ceaf1470,3250942123,15,uniform,Aleatorio,high,Alta,0.65,0.6281149320754309,18,4,12,0.2,True,False,True,4.005515036698588,-3.976614892861697,1.1509401478062533,True,True,0.0,True,18.8801,
heterogeneity,886989de1950ceaf1470,3250942123,15,uniform,Aleatorio,extreme,Extrema,1.0,0.7827083014060532,18,4,12,0.2,True,False,True,2.071079791926792,-2.071079791926792,2.4055747509189476,True,True,0.0,True,17.9633,
heterogeneity,1ac5b8dac66ad8b1c534,1129849285,16,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.4028710061393923,1.7158658478099498,True,True,0.0,False,1.6529,
heterogeneity,1ac5b8dac66ad8b1c534,1129849285,16,uniform,Aleatorio,low,Baja,0.15,0.13617168719619646,18,4,12,0.2,True,True,False,0.0,0.1355190669336821,1.9682825135197435,True,True,0.0,False,2.505,
heterogeneity,1ac5b8dac66ad8b1c534,1129849285,16,uniform,Aleatorio,moderate,Moderada,0.35,0.34238612534793245,18,4,12,0.2,True,False,True,2.9712023874826983,-2.9712023874826983,1.3705140636227864,True,True,0.0,True,2.8295,
heterogeneity,1ac5b8dac66ad8b1c534,1129849285,16,uniform,Aleatorio,high,Alta,0.65,0.6828747455636597,18,4,12,0.2,True,False,True,13.942070633985704,-10.322828550718462,-1.3373894494934748,True,True,0.0,True,3.9796,
heterogeneity,1ac5b8dac66ad8b1c534,1129849285,16,uniform,Aleatorio,extreme,Extrema,1.0,0.6702267715402781,18,4,12,0.2,True,False,True,13.65110853791992,-13.65110853791992,-0.7338973170835263,True,True,0.0,True,2.0153,
heterogeneity,d192ba75988c09166349,591578694,17,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.5511401392780986,1.28534936698879,True,True,0.0,False,1.612,
heterogeneity,d192ba75988c09166349,591578694,17,uniform,Aleatorio,low,Baja,0.15,0.09873942446650615,18,4,12,0.2,True,False,True,0.2920243307962824,-0.2920243307962824,0.8567929741571616,True,True,0.0,True,18.6898,
heterogeneity,d192ba75988c09166349,591578694,17,uniform,Aleatorio,moderate,Moderada,0.35,0.3152950082262014,18,4,12,0.2,True,False,True,3.987821272881108,-2.542861773302466,-0.13908561958466725,True,True,0.0,True,57.842,
heterogeneity,d192ba75988c09166349,591578694,17,uniform,Aleatorio,high,Alta,0.65,0.673673309317526,18,4,12,0.2,True,False,True,7.402755384574612,-5.267009941862324,-0.8665212734126457,True,True,0.0,True,35.9687,
heterogeneity,d192ba75988c09166349,591578694,17,uniform,Aleatorio,extreme,Extrema,1.0,1.1399293476734806,18,4,12,0.2,True,False,True,18.94637523298733,-14.30748102358185,3.981565872346927,True,True,0.0,True,12.4176,
heterogeneity,cddbd9723605e1f87653,3688134879,18,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,3.155766669415577,3.729235600740024,True,True,0.0,False,1.6029,
heterogeneity,cddbd9723605e1f87653,3688134879,18,uniform,Aleatorio,low,Baja,0.15,0.2090860966147167,18,4,12,0.2,True,True,False,0.0,2.6211979148523543,3.990849217732032,True,True,0.0,False,13.6461,
heterogeneity,cddbd9723605e1f87653,3688134879,18,uniform,Aleatorio,moderate,Moderada,0.35,0.3365432757206283,18,4,12,0.2,True,True,False,0.0,0.12190151303822105,4.123232503782855,True,True,0.0,False,15.8321,
heterogeneity,cddbd9723605e1f87653,3688134879,18,uniform,Aleatorio,high,Alta,0.65,0.611088433802805,18,4,12,0.2,True,False,True,1.4637484223501076,-1.4637484223501076,2.4150133879815456,True,True,0.0,True,18.3413,
heterogeneity,cddbd9723605e1f87653,3688134879,18,uniform,Aleatorio,extreme,Extrema,1.0,1.2000092718334443,18,4,12,0.2,True,False,True,12.4334148318957,-12.4334148318957,5.353472107885187,True,True,0.0,True,5.2618,
heterogeneity,46dc882733e6700844af,2320112743,19,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,2.187437624611775,2.8035596589640845,True,True,0.0,False,2.1909,
