seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63209,0.8,1.0,1,1,1,0,0,0.6562016737561739,1.0312267480079087e-16,0.26974115080825684,r4
63209,0.8,1.2,1,1,1,0,0,0.7874420085074105,4.440892098500626e-16,0.26974115080825667,r4
63210,0.2,0.2,1,1,1,0,0,0.20822029461217675,4.0371746350005693e-17,0.37903579668226733,r2
63210,0.2,0.4,1,1,1,0,0,0.4164405892243535,8.074349270001139e-17,0.37903579668226733,r2
63210,0.2,0.6,1,1,1,0,0,0.6246608838365303,1.4130111222501992e-16,0.3790357966822682,r2
63210,0.2,0.8,1,1,1,0,0,0.832881178448707,1.6148698540002277e-16,0.37903579668226733,r2
63210,0.2,1.0,1,1,0,1,1,1.0411014730608832,2.220446049250313e-16,0.3790357966822678,r2
63210,0.2,1.2,1,1,0,1,1,1.2493217676730606,2.8260222445003984e-16,0.3790357966822682,r2
63210,0.4,0.2,1,1,1,0,0,0.14977600605083902,3.2297397080004555e-16,0.31504655006616483,r2
63210,0.4,0.4,1,1,1,0,0,0.29955201210167803,6.459479416000911e-16,0.31504655006616483,r2
63210,0.4,0.6,1,1,1,0,0,0.4493280181525229,1.0597583416876494e-15,0.3150465500661683,r4
63210,0.4,0.8,1,1,1,0,0,0.5991040242033561,1.2918958832001822e-15,0.31504655006616483,r2
63210,0.4,1.0,1,1,1,0,0,0.7488800302541984,1.6148698540002276e-15,0.3150465500661666,r4
63210,0.4,1.2,1,1,1,0,0,0.8986560363050458,2.1195166833752987e-15,0.3150465500661683,r4
63210,0.6,0.2,1,1,1,0,0,0.1413149957915217,1.3593153636923886e-17,0.322269541407142,r2
63210,0.6,0.4,1,1,1,0,0,0.2826299915830434,2.7186307273847772e-17,0.322269541407142,r2
