world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
4dd7a4fee834ca25f9b42ba8c6afb1aa5fa40867562f2e0f09e6ce2c52ca5b54,9650180492eac9cef1e1b2788da03006c9965cdc7ad06855a377639d91dc964b,harsh_combined,4,8,8814,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.35,0.005252187499999998
1f6f8e274837543b4448a2a2edbf52d6d32597c9f7fd5ef9a04056c6b40cbc12,6973d131adcad93491f9ec8b213da3d1ab2d41c02a1b0d4647968ec1088e199d,nominal,4,8,8815,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
c0ada5bc4b33ac3da9c9fa383dab7766bb28ba6d2ec4c2745ee45a01b9f012a5,6973d131adcad93491f9ec8b213da3d1ab2d41c02a1b0d4647968ec1088e199d,sparse_radio,4,8,8815,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,0,15,True,0.0,0.0
c5f9afd7bb08525315684f6762c489eb8963cd74e241979a769a26cabd1a595f,6973d131adcad93491f9ec8b213da3d1ab2d41c02a1b0d4647968ec1088e199d,bounded_delay,4,8,8815,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
e5f07cf5e6bd1e761038d5c91ec945dae9464786b46f40a0b79070318ed617f5,6973d131adcad93491f9ec8b213da3d1ab2d41c02a1b0d4647968ec1088e199d,independent_loss,4,8,8815,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
ad1be576abb211e3b00c791b9ce0968c4e78539e6ff0226f92f2819d1642fb54,6973d131adcad93491f9ec8b213da3d1ab2d41c02a1b0d4647968ec1088e199d,harsh_combined,4,8,8815,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,0,15,True,0.35,0.005252187499999998
ef4953e8df895b44c88eec4f0389f473d71bc0b8a991ab8f479496a154e13ccf,51ed44346ed6162157c01bcd1f8c96c898587050844f565bc35678891fc70165,nominal,4,8,8816,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
a9cd91b502c6ce9c5af461b19dc8dbb705ce5975aaaa5b61906a0cd68e2cba08,51ed44346ed6162157c01bcd1f8c96c898587050844f565bc35678891fc70165,sparse_radio,4,8,8816,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,1,15,True,0.0,0.0
7bf98f1c59c1142fda8ab8a53d92e0639781262e73f07825afb436970dffb810,51ed44346ed6162157c01bcd1f8c96c898587050844f565bc35678891fc70165,bounded_delay,4,8,8816,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.0,0.0
52cf26430ab5549fa88d652a9ec6d51a999184196b1e5788a21c8e8fc9b3603b,51ed44346ed6162157c01bcd1f8c96c898587050844f565bc35678891fc70165,independent_loss,4,8,8816,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,2,15,True,0.25,0.0009765625
96f1eac5151ae1e6ef4ac77828758c478cc1170e18f5333b6abaa73e3f34fa8a,51ed44346ed6162157c01bcd1f8c96c898587050844f565bc35678891fc70165,harsh_combined,4,8,8816,2,1.0,2,2,False,3.9250536344271737e-17,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
57d7580bc759a5f0adba54d299afe379fcc2e7738bcc48823ea526bfd6b0b651,0140256122e2c04837eca7b9f76ffd8c00e9ed2734f3e4951801c8006c90e2db,nominal,4,8,8817,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
4eddd4cb94c3a63b0fdb8ac1474c54f46b263b9f812935208dad67312ec52050,0140256122e2c04837eca7b9f76ffd8c00e9ed2734f3e4951801c8006c90e2db,sparse_radio,4,8,8817,1,0.5,1,3,False,0.0,16,True,True,True,True,True,2,15,True,0.0,0.0
